,District,STATE,TEHSIL,Shape_Leng,Shape_Area,max,mean,count,sum
92,SIRMAUR,HIMACHAL PRADESH,SHALAI,93720.6680184,237306828.964,0.39404748792648314,0.35016997252329857,227,79.48858376278878
93,SOLAN,HIMACHAL PRADESH,ARKI,121094.81055,376340973.577,0.2508057664871216,0.17278178787172008,361,62.374225421690944
94,SOLAN,HIMACHAL PRADESH,BADDI,103517.758819,254045135.644,0.2845214581251144,0.2798040362498397,243,67.99238080871105
95,SOLAN,HIMACHAL PRADESH,KANDAGHAT,119379.90387,222080196.312,0.25499461982250216,0.25257262879446224,211,53.29282467563153
96,SOLAN,HIMACHAL PRADESH,KASAULI,105340.572049,162100972.317,0.6764533633232117,0.4595103946132046,155,71.22411116504671
97,SOLAN,HIMACHAL PRADESH,KRISHANGARH,66506.2710773,111193936.985,0.2845214581251144,0.25262823630539144,111,28.04173422989845
98,SOLAN,HIMACHAL PRADESH,NALAGARH,116294.177847,331453478.715,0.2845214581251144,0.2287657513977954,321,73.43380619869232
99,SOLAN,HIMACHAL PRADESH,RAMSHAHR,76077.051426,180009370.191,0.2845214581251144,0.20581283028851982,174,35.81143247020245
100,SOLAN,HIMACHAL PRADESH,SOLAN,140930.496452,252718397.213,0.6764533633232117,0.35214941838994085,249,87.68520517909528
101,UNA,HIMACHAL PRADESH,AMB,142927.753418,325915719.284,0.28160221214294434,0.22265204126872476,317,70.58069708218575
102,UNA,HIMACHAL PRADESH,BANGANA,128647.900211,408670254.79,0.29597096037864684,0.28348628968108786,396,112.26057071371079
103,UNA,HIMACHAL PRADESH,GHANURI,119270.080686,252238724.434,0.2894392599105835,0.16667194333864796,248,41.33464194798469
104,UNA,HIMACHAL PRADESH,HAROLI,99732.14364,302006527.22,0.2894392599105835,0.27046140212848274,290,78.43380661725999
105,UNA,HIMACHAL PRADESH,UNA,90436.195535,221043454.814,0.2742136667728424,0.27338350800602934,215,58.7774542212963
106,SIRMAUR,HIMACHAL PRADESH,PAONTA SAHIB,443148.603776,714515939.347,0.5458242578029633,0.4722485494394079,683,322.5457592671156
107,KINNAUR,HIMACHAL PRADESH,HANGRANG,126162.028723,500217415.299,0.05933434234857559,0.05892187964198011,483,28.459267867076395
108,KINNAUR,HIMACHAL PRADESH,MORANG,286156.57041,1751222127.85,0.26651948046684265,0.08860208847700597,1689,149.64892743766308
109,KINNAUR,HIMACHAL PRADESH,PUH,212682.456325,1217420153.58,0.06996686880588532,0.05421754386342666,1187,64.35622456588744
110,KINNAUR,HIMACHAL PRADESH,SANGLA,280578.80565,1424895966.45,0.4694212312698364,0.2364623888626641,1389,328.44625813024044
111,LAHUL & SPITI,HIMACHAL PRADESH,SPITI,616229.261354,7115968753.93,0.2146261528968811,0.10758344450110367,6937,746.3063545041562
