,ID,ind_ppp_UNadj,aged,young,sexratio,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,x,y,yr
18752,18752,4,0,0,924,NA,0,2,1,0,1,95.18312205,27.09627046,2022
18753,18753,3,0,0,924,NA,0,1,1,0,1,95.20691371,27.12211081,2022
18754,18754,2,0,0,924,NA,0,1,1,0,1,95.20453327,27.06565282,2022
18755,18755,3,0,0,924,NA,0,1,1,0,1,95.12258215,27.04320431,2022
18756,18756,3,0,0,924,NA,0,1,1,0,1,95.26669551,27.16570113,2022
18757,18757,2,0,0,924,NA,0,1,1,0,1,95.17396902,27.08700876,2022
18758,18758,4,0,0,924,NA,1,2,1,0,1,95.18871257,27.13636603,2022
18759,18759,3,0,0,924,NA,0,1,1,0,1,95.18444856,27.13349705,2022
18760,18760,2,0,0,924,NA,0,1,0,0,NA,95.2345623,27.07740161,2022
18761,18761,2,0,0,924,NA,0,1,0,0,NA,95.22997624,27.07799167,2022
18762,18762,1,0,0,924,NA,0,0,0,0,NA,95.1444196,27.01463256,2022
18763,18763,1,0,0,924,NA,0,0,0,0,NA,95.13576998,27.01325391,2022
18764,18764,2,0,0,924,NA,0,1,1,0,1,95.09081544,27.02654561,2022
18765,18765,2,0,0,924,NA,0,1,0,0,1,95.09288735,27.03475263,2022
18766,18766,2,0,0,924,NA,0,1,1,0,1,95.08639921,27.03114643,2022
18767,18767,3,0,0,924,NA,0,1,1,0,1,95.09975326,27.03598297,2022
18768,18768,3,0,0,924,NA,0,1,1,0,1,95.1098666,27.04608827,2022
18769,18769,2,0,0,924,NA,0,1,0,0,1,95.11911362,27.03230233,2022
18770,18770,4,0,0,924,NA,0,2,1,0,1,95.17598672,27.08408651,2022
18771,18771,4,0,0,924,NA,1,2,1,0,1,95.26000702,27.13265228,2022
18772,18772,2,0,0,924,NA,0,1,1,0,1,95.31239349,27.14561834,2022
18773,18773,2,0,0,924,NA,0,1,0,0,1,95.16914767,27.0366275,2022
18774,18774,4,0,0,924,NA,1,2,1,0,1,94.99371045,26.99113731,2022
18775,18775,4,0,0,924,NA,1,2,1,0,1,95.15755357,27.08297423,2022
18776,18776,3,0,0,924,NA,0,1,1,0,1,95.17092134,27.08168847,2022
18777,18777,2,0,0,924,NA,0,1,1,0,1,95.26763452,27.1001932,2022
18778,18778,2,0,0,924,NA,0,1,0,0,NA,95.15622176,27.05777502,2022
18779,18779,4,0,0,924,NA,0,2,1,0,1,95.27858226,27.1431635,2022
18780,18780,5,0,0,924,1,1,2,1,0,1,95.34896346,27.15482488,2022
18781,18781,4,0,0,924,NA,1,2,1,0,1,95.15543865,27.1014843,2022
18782,18782,3,0,0,924,NA,0,1,1,0,1,95.26067075,27.17967274,2022
18783,18783,4,0,0,924,NA,0,2,1,0,1,95.31979594,27.16014056,2022
18784,18784,3,0,0,924,NA,0,1,1,0,1,95.27103216,27.16635979,2022
18785,18785,3,0,0,924,NA,0,1,1,0,1,95.27753694,27.16807776,2022
18786,18786,3,0,0,924,NA,0,1,1,0,1,95.27240726,27.16401667,2022
18787,18787,3,0,0,924,NA,0,1,1,0,1,95.26929858,27.16070304,2022
18788,18788,3,0,0,924,NA,0,1,1,0,1,95.27794568,27.18740921,2022
18789,18789,4,0,0,924,NA,1,2,1,0,1,95.189077,27.08355218,2022
18790,18790,3,0,0,924,NA,0,1,1,0,1,95.2228132,27.12913892,2022
18791,18791,4,0,0,924,NA,0,2,1,0,1,95.18350521,27.08588597,2022
18792,18792,3,0,0,924,NA,0,1,1,0,1,95.17729588,27.08190578,2022
18793,18793,2,0,0,924,NA,0,1,0,0,NA,95.16608341,27.05003733,2022
18794,18794,2,0,0,924,NA,0,1,0,0,NA,95.1650756,27.0414837,2022
18795,18795,3,0,0,924,NA,0,1,1,0,1,95.0813755,27.06468842,2022
18796,18796,2,0,0,924,NA,0,1,1,0,1,95.1065148,27.09475383,2022
18797,18797,2,0,0,924,NA,0,1,0,0,1,95.12707056,27.09826484,2022
18798,18798,3,0,0,924,NA,0,1,1,0,1,95.08601238,27.09244232,2022
18799,18799,3,0,0,924,NA,0,1,1,0,1,95.07441221,27.08388377,2022
18800,18800,4,0,0,924,NA,1,2,1,0,1,95.07423772,27.09262457,2022
18801,18801,3,0,0,924,NA,0,1,1,0,1,95.13660164,27.11121104,2022
18802,18802,3,0,0,924,NA,0,1,1,0,1,95.12158515,27.1249927,2022
