District,Total,Relief Camp,Relief Distribution Centres,Date
Dhubri,43,"43(Chapar | 3, Athani | 4, Bilasipara | 35, 
Golakganj | 1)","0(Chapar | 0, Athani | 0, Bilasipara | 0, Golakganj | 
0)",19-06-2022
Dibrugarh,3,0(Chabua | 0),3(Chabua | 3),19-06-2022
"Dima-
Hasao",29,25(Haflong | 25),4(Haflong | 4),19-06-2022
Goalpara,100,"59(Balijana | 26, Lakhipur | 30, Matia | 3)","41(Balijana | 11, Lakhipur | 30, Matia | 0)",19-06-2022
Hailakandi,16,"8(Hailakandi | 5, Algapur | 3, Katlicherra | 0, 
Lala | 0)","8(Hailakandi | 5, Algapur | 0, Katlicherra | 1, Lala | 
2)",19-06-2022
Hojai,61,"47(Hojai | 33, Doboka | 14)","14(Hojai | 0, Doboka | 14)",19-06-2022
Kamrup,53,"26(Rangia | 9, Hajo | 3, North Ghy | 4, 
Kamalpur | 10, Kayan | 0)","27(Rangia | 1, Hajo | 0, North Ghy | 11, Kamalpur | 
10, Kayan | 5)",19-06-2022
"Kamrup 
(M)",6,2(Guwahati | 2),4(Guwahati | 4),19-06-2022
"Karbi 
Anglong 
West",6,0(Donkamokam | 0),6(Donkamokam | 6),19-06-2022
Karimganj,73,"30(Badarpur | 10, Patherkandi | 1, Karimganj | 
19, Nilambazar | 0, RK Nagar | 0)","43(Badarpur | 8, Patherkandi | 4, Karimganj | 0, 
Nilambazar | 6, RK Nagar | 25)",19-06-2022
Kokrajhar,40,"16(Gossaigaon | 2, Bagribari | 9, Kokrajhar | 3, 
Dotma | 2, Bhawraguri | 0)","24(Gossaigaon | 0, Bagribari | 4, Kokrajhar | 0, 
Dotma | 17, Bhawraguri | 3)",19-06-2022
Lakhimpur,12,"0(North Lakhimpur | 0, Dhakuakhana | 0, 
Bihpuria | 0, Nowboicha | 0)","12(North Lakhimpur | 3, Dhakuakhana | 1, 
Bihpuria | 2, Nowboicha | 6)",19-06-2022
Nagaon,33,"33(Kampur | 17, Raha | 5, Nagaon | 11)","0(Kampur | 0, Raha | 0, Nagaon | 0)",19-06-2022
Nalbari,120,"111(Ghograpar | 3, Tihu | 20, Banekuchi | 17, 
Paschim Nalbari | 21, Barbhag | 20, Nalbari | 
30)","9(Ghograpar | 5, Tihu | 0, Banekuchi | 0, Paschim 
Nalbari | 0, Barbhag | 0, Nalbari | 4)",19-06-2022
Sivasagar,7,0(Sivsagar | 0),7(Sivsagar | 7),19-06-2022
Sonitpur,26,"2(Dhekiajuli | 1, Chariduar | 1, Thelamara | 0, 
Tezpur | 0)","24(Dhekiajuli | 2, Chariduar | 0, Thelamara | 17, 
Tezpur | 5)",19-06-2022
Tamulpur,42,"22(Goreswar | 8, Tamulpur | 14)","20(Goreswar | 9, Tamulpur | 11)",19-06-2022
Tinsukia,10,"4(Doomdooma | 4, Tinsukia | 0)","6(Doomdooma | 4, Tinsukia | 2)",19-06-2022
Udalguri,60,"30(Udalguri | 10, Harisinga | 5, Kalaigaon | 6, 
Mazbat | 9, Khairabari | 0)","30(Udalguri | 22, Harisinga | 4, Kalaigaon | 0, 
Mazbat | 0, Khairabari | 4)",19-06-2022
Cachar,230,"230(Silchar | 63, Sonai | 50, Katigorah | 94, 
Lakhipur | 23)","0(Silchar | 0, Sonai | 0, Katigorah | 0, Lakhipur | 0)",26-06-2022
Chirang,3,3(Bijni | 3),0(Bijni | 0),26-06-2022
Darrang,23,"3(Mangaldoi | 2, Sipajhar | 1)","20(Mangaldoi | 15, Sipajhar | 5)",26-06-2022
Dhemaji,2,0(Sissiborgaon | 0),2(Sissiborgaon | 2),26-06-2022
Dibrugarh,1,0(Dibrugarh East | 0),1(Dibrugarh East | 1),26-06-2022
"Dima-
Hasao",25,25(Haflong | 25),0(Haflong | 0),26-06-2022
Goalpara,18,"18(Lakhipur | 12, Balijana | 6)","0(Lakhipur | 0, Balijana | 0)",26-06-2022
Hailakandi,9,"5(Algapur | 5, Hailakandi | 0)","4(Algapur | 0, Hailakandi | 4)",26-06-2022
Hojai,3,3(Hojai | 3),0(Hojai | 0),26-06-2022
Kamrup,34,"19(Kayan | 3, Kamalpur | 2, North Ghy | 11, 
Rangia | 3, Hajo | 0)","15(Kayan | 0, Kamalpur | 2, North Ghy | 0, Rangia 
| 1, Hajo | 12)",26-06-2022
"Karbi 
Anglong 
West",4,0(Donkamokam | 0),4(Donkamokam | 4),26-06-2022
Karimganj,80,"55(Badarpur | 16, Nilambazar | 7, Karimganj | 
29, Patherkandi | 3, RK Nagar | 0)","25(Badarpur | 0, Nilambazar | 0, Karimganj | 0, 
Patherkandi | 0, RK Nagar | 25)",26-06-2022
Lakhimpur,11,"0(North Lakhimpur | 0, Subansiri | 0, 
Nowboicha | 0)","11(North Lakhimpur | 1, Subansiri | 9, Nowboicha 
| 1)",26-06-2022
Morigaon,1,1(Morigaon | 1),0(Morigaon | 0),26-06-2022
Nagaon,66,"66(Raha | 13, Nagaon | 36, Kampur | 17)","0(Raha | 0, Nagaon | 0, Kampur | 0)",26-06-2022
Nalbari,9,"9(Paschim Nalbari | 6, Barbhag | 2, Tihu | 1)","0(Paschim Nalbari | 0, Barbhag | 0, Tihu | 0)",26-06-2022
Sonitpur,1,1(Dhekiajuli | 1),0(Dhekiajuli | 0),26-06-2022
"South 
Salmara",5,5(Mankachar | 5),0(Mankachar | 0),26-06-2022
Tamulpur,2,2(Goreswar | 2),0(Goreswar | 0),26-06-2022
Udalguri,3,"2(Udalguri | 2, Mazbat | 0)","1(Udalguri | 0, Mazbat | 1)",26-06-2022
Bajali,2,"0(Sarupeta | 0, Bajali | 0)","2(Sarupeta | 1, Bajali | 1)",26-06-2022
Baksa,1,0(Baska | 0),1(Baska | 1,26-06-2022
Barpeta,147,"117(Barpeta | 60, Baghbar | 20, Chenga | 37, Barnagar | 0, Kalgachia | 0)","30(Barpeta | 0, Baghbar | 1, Chenga | 6, Barnagar | 11, Kalgachia | 12)",26-06-2022
Dima-Hasao,5,0(Haflong | 0),5(Haflong | 5),14-06-2022
Kamrup (M),2,"2(Guwahati | 1, Dispur | 1)","0(Guwahati | 0, Dispur | 0)",14-06-2022
Bajali,3,"2(Sarupeta | 2, Bajali | 0)","1(Sarupeta | 0, Bajali | 1)",25-06-2022
Baksa,4,0(Barnagar RC part | 0),4(Barnagar RC part | 4),25-06-2022
Barpeta,176,"153(Barpeta | 97, Baghbar | 19, Chenga | 37, 
Kalgachia | 0)","23(Barpeta | 0, Baghbar | 1, Chenga | 11, 
Kalgachia | 11)",25-06-2022
Cachar,224,"224(Lakhipur | 22, Katigorah | 94, Udharbond | 
1, Sonai | 44, Silchar | 63)","0(Lakhipur | 0, Katigorah | 0, Udharbond | 0, 
Sonai | 0, Silchar | 0)",25-06-2022
Chirang,3,3(Bijni | 3),0(Bijni | 0),25-06-2022
Darrang,42,"4(Sipajhar | 1, Mangaldoi | 3, Patharighat | 0)","38(Sipajhar | 11, Mangaldoi | 26, Patharighat | 1)",25-06-2022
Dhemaji,12,"0(Dhemaji | 0, Sissiborgaon | 0, Gogamukh | 0)","12(Dhemaji | 2, Sissiborgaon | 3, Gogamukh | 7)",25-06-2022
Dibrugarh,1,0(Dibrugarh East | 0),1(Dibrugarh East | 1),25-06-2022
"Dima-
Hasao",27,26(Haflong | 26),1(Haflong | 1),25-06-2022
Goalpara,25,"25(Lakhipur | 13, Balijana | 12)","0(Lakhipur | 0, Balijana | 0)",25-06-2022
"Hailakand
i",18,"5(Hailakandi | 5, Lala | 0, Algapur | 0)","13(Hailakandi | 10, Lala | 2, Algapur | 1)",25-06-2022
Hojai,13,"8(Doboka | 4, Hojai | 4)","5(Doboka | 0, Hojai | 5)",25-06-2022
Kamrup,60,"35(Rangia | 8, Kamalpur | 12, North Ghy | 13, 
Kayan | 2, Hajo | 0)","25(Rangia | 1, Kamalpur | 12, North Ghy | 0, 
Kayan | 0, Hajo | 12)",25-06-2022
"Karbi 
Anglong 
West",2,0(Donkamokam | 0),2(Donkamokam | 2),25-06-2022
Karimganj,63,"62(Nilambazar | 8, Karimganj | 29, Badarpur | 
20, Patherkandi | 5)","1(Nilambazar | 1, Karimganj | 0, Badarpur | 0, 
Patherkandi | 0)",25-06-2022
"Lakhimpu
r",4,"0(Subansiri | 0, Bihpuria | 0)","4(Subansiri | 3, Bihpuria | 1)",25-06-2022
Morigaon,10,"1(Morigaon | 1, Mikirbheta | 0)","9(Morigaon | 0, Mikirbheta | 9)",25-06-2022
Nagaon,183,"64(Kampur | 17, Nagaon | 35, Raha | 12)","119(Kampur | 47, Nagaon | 33, Raha | 39)",25-06-2022
Nalbari,14,"13(Paschim Nalbari | 6, Tihu | 1, Barbhag | 4, 
Nalbari | 2)","1(Paschim Nalbari | 0, Tihu | 0, Barbhag | 0, 
Nalbari | 1)",25-06-2022
Sonitpur,1,1(Dhekiajuli | 1),0(Dhekiajuli | 0),25-06-2022
"South 
Salmara",8,8(Mankachar | 8),0(Mankachar | 0),25-06-2022
Tamulpur,3,"3(Goreswar | 2, Tamulpur | 1)","0(Goreswar | 0, Tamulpur | 0)",25-06-2022
Cachar,69,"69(Katigorah | 29, Sonai | 1, Silchar | 39)","0(Katigorah | 0, Sonai | 0, Silchar | 0)",30-05-2022
Dima-Hasao,4,0(Haflong | 0),4(Haflong | 4),30-05-2022
Morigaon,3,3(Morigaon | 3),0(Morigaon | 0),30-05-2022
Nagaon,12,"12(Nagaon | 3, Raha | 7, Kampur | 2)","0(Nagaon | 0, Raha | 0, Kampur | 0)",30-05-2022
Lakhimpur,4,0(Nowboicha | 0),4(Nowboicha | 4),15-10-2022
Cachar,45,"45(Katigorah | 20, Lakhipur | 1, Silchar | 24)","0(Katigorah | 0, Lakhipur | 0, Silchar | 0)",13-07-2022
Chirang,1,1(Bijni | 1),0(Bijni | 0),13-07-2022
Dima-Hasao,22,17(Haflong | 17),5(Haflong | 5),13-07-2022
Morigaon,8,8(Morigaon | 8),0(Morigaon | 0),13-07-2022
